Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Total de pacotes,Percentual filtrado,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A,Fluxos
"10.0.2.15",49832,"31.200.249.244",31829,596,38216,89,1197,49.79,593,37924,3,292,117.4172647,11.33945270000001,26755,206,7
"10.0.2.15",49948,"46.180.12.57",49666,1,122,201,5,20,1,122,0,0,136.7005555,1.0019015000000024,974,0,1
"10.0.2.15",49860,"47.42.67.35",55222,1,122,115,10,10,1,122,0,0,120.8901065,2.1891557999999947,445,0,1
"10.0.2.15",49909,"50.35.44.185",51413,1,122,164,7,14.29,1,122,0,0,125.0045141,7.800050200000015,125,0,1
"10.0.2.15",49955,"50.35.179.228",52222,5,1103,208,15,33.33,4,981,1,122,138.9476686,5.332533400000017,1471,183,3
"10.0.2.15",49957,"62.210.207.69",49152,90,10754,210,376,23.94,76,6057,14,4697,138.9483746,13.335469799999998,3633,2817,49
"10.0.2.15",49858,"66.56.80.155",30290,1,122,113,7,14.29,1,122,0,0,120.8896828,9.16097400000001,106,0,1
"10.0.2.15",49908,"66.70.179.33",51413,1,122,163,7,14.29,1,122,0,0,125.0041911,1.8019246000000066,541,0,1
"10.0.2.15",49857,"66.216.216.2",6881,1,122,112,10,10,1,122,0,0,120.8891859,4.964092100000002,196,0,1
"10.0.2.15",49988,"67.115.35.65",51413,159,13110,241,320,49.69,157,12382,2,728,144.2087163,8.079604500000016,12260,720,5
"10.0.2.15",49910,"71.161.110.85",60000,15870,21666445,165,30312,52.36,1362,130930,14508,21535515,126.0161371,26.2455748,39909,6564311,1965
"10.0.2.15",49863,"71.161.195.77",60000,8678,11650357,118,17349,50.02,874,85866,7804,11564491,121.9136782,30.381826599999997,22609,3045107,1145
"10.0.2.15",49933,"77.39.170.92",8999,4579,5837373,189,5524,82.89,602,50519,3977,5786854,132.2162666,20.07281569999998,20134,2306344,625
"10.0.2.15",49890,"78.43.133.239",15627,9423,9393563,143,11803,79.84,1097,85390,8326,9308173,124.9729203,27.289873,25031,2728681,1329
"10.0.2.15",49907,"81.170.143.84",51413,856,76245,162,2047,41.82,844,64441,12,11804,125.0038579,27.28548880000001,18893,3460,77
"10.0.2.15",49932,"82.64.55.92",51413,7170,9374727,188,8596,83.41,638,55971,6532,9318756,132.2138013,20.0701775,22310,3714468,833
"10.0.2.15",50003,"82.64.76.213",51413,1,122,259,9,11.11,1,122,0,0,149.4661806,0.5715074999999956,1707,0,1
"10.0.2.15",49991,"82.66.192.104",6881,60,5234,244,126,47.62,59,4881,1,353,145.28395510000001,7.00067949999999,5577,403,3
"10.0.2.15",49835,"82.124.84.162",6881,28611,38691747,92,66861,42.79,2591,242784,26020,38448963,118.8011121,33.457124699999994,58052,9193608,3889
"10.0.2.15",49862,"84.233.216.174",45923,9973,12808719,117,13086,76.21,1288,102911,8685,12705808,120.8905929,31.65460569999999,26008,3211111,1216
"10.0.2.15",49868,"85.215.176.70",4240,19315,25005995,123,21514,89.78,1401,120724,17914,24885271,121.9156079,30.33972320000001,31832,6561766,1301
"10.0.2.15",49849,"85.216.19.245",58578,30710,37633748,106,38164,80.47,2014,171041,28696,37462707,119.8519658,32.433288399999995,42188,9240557,3095
"10.0.2.15",49995,"86.115.226.162",49152,91,12285,248,581,15.66,75,6018,16,6267,145.2850321,6.998714699999994,6878,7163,37
"10.0.2.15",49950,"86.201.108.253",51523,4532,6026454,203,6372,71.12,507,45176,4025,5981278,136.7128661,15.58759089999998,23185,3069763,633
"10.0.2.15",49836,"87.58.176.238",62015,10077,12694464,93,20124,50.07,1596,130606,8481,12563858,118.8013435,33.460043299999995,31226,3003907,1727
"10.0.2.15",49929,"89.245.83.47",7762,207,16202,186,420,49.29,206,16066,1,136,132.2118831,20.049279400000017,6410,54,5
"10.0.2.15",49847,"93.198.149.207",6881,1609,519293,104,3228,49.85,1199,87181,410,432112,119.8515342,32.43509420000001,21502,106578,91
"10.0.2.15",49990,"94.32.71.6",51413,84,14816,243,315,26.67,71,5734,13,9082,145.2835735,6.9729963999999995,6578,10419,49
"10.0.2.15",49903,"94.185.80.230",4886,1,122,158,7,14.29,1,122,0,0,125.0028186,12.846451000000016,75,0,1
"10.0.2.15",49951,"99.233.192.106",62800,1315,1386878,204,3431,38.33,343,28547,972,1358331,137.8495574,14.449131800000004,15805,752062,328
"10.0.2.15",49867,"104.244.79.207",60102,10695,13352992,122,17849,59.92,1599,126480,9096,13226512,121.9154017,30.353408999999985,33335,3486003,1836
"10.0.2.15",49940,"109.197.199.120",11633,302,37146,191,801,37.7,286,24100,16,13046,133.2888098,18.98715100000001,10154,5496,107
"10.0.2.15",49993,"123.243.221.114",6881,4,959,246,14,28.57,3,837,1,122,145.2844714,2.5784658000000036,2596,378,3
"10.0.2.15",49958,"134.19.78.226",63314,92,11929,211,401,22.94,79,6251,13,5678,138.9485226,13.339232100000004,3748,3405,49
"10.0.2.15",49980,"146.70.226.146",36365,166,19856,233,434,38.25,157,12176,9,7680,143.1794774,9.116825699999993,10684,6739,41
"10.0.2.15",49893,"151.243.141.95",33703,12159,15987390,142,24732,49.16,1437,126786,10722,15860604,124.9729024,27.315165899999997,37132,4645215,1973
"10.0.2.15",49945,"152.173.104.78",65411,713,320575,197,1613,44.2,374,29971,339,290604,135.4935766,16.80137959999999,14270,138371,195
